Projetos de Pesquisa Cadastrados em 2018,,
Campus,Título,Nome Coordenador
Montes Claros,Uma Contribuição ao Desenvolvimento de Modelos Progressivo em Método Analítico- Numérico para Estudo de Lajes Tipo Grelha para Pontes,Henaldo Sant’ana
Montes Claros,Avaliação da Atividade Antifúngica dos óleos essenciais de Manjericão (Ocimum basilicum) e do cravo-da-índia (Syzygium aromaticum),Marcelo Moreira Freire
Montes Claros,Produção de Sabonete Líquido a Partir de Diferentes Concentrações de Eugenol e de Óleo Essencial Extraído do Cravo da índia (syzygium aromaticum) e Estudo Comparativo de Propriedades Antibacterianas,Junai Carvalho de Souza Lopes
Montes Claros,Isolamento de Bactérias Promotoras de Crescimento Vegetal em Gramíneas no IFNMG – Campus Montes Claros,Vitor Hugo Endlich Fernandes
Montes Claros,Montagem de um Sistema de Controle de Nível Utilizando Plataforma Arduíno para Práticas de Controle de Processos,Saulo Fernando dos Santos Vidal
Montes Claros,Montagem de Condensador Redutor de Volume de Efluentes dos Laboratórios do IFNMG – Campus Montes Claros,Daniel Rodrigues
Montes Claros,Visão Computacional para Reconhecimento Automático de Língua Brasileira de Sinais,Josiane de Oliveira Fagundes de Araújo
Montes Claros,Concepção de um Irradiador para a Terapia de Captura de Nêutrons,Wagner Leite Araújo
Montes Claros,Explorando Diversidade em Realimentação de Relevância em Base de Dados de Imagens,Lúcio Fernandes Dutra Santos
Montes Claros,Implantação de Sistema Automático de Controle de Temperatura e pH em Estação de Tratamento de Efluente,Daniel Rodrigues Magalhães
Montes Claros,Análise e Aprimoramentos Eletronucleares em Célula Cilíndrica de Ativação Neutrônica ,Wagner Leite Araújo
Montes Claros,Produção de Carvão Ativado a Partir do Lodo Biológico e Avaliação de seu Potencial Frente a Soluções de Ácido Acético e a Azul de Metileno,Daniel Rodrigues Magalhães
Montes Claros,Avaliação de Catalisadores Heterogêneos e óleos Vegetais na Produção de Biodiesel,Thalles de Assis Cardoso Gonçalves
Montes Claros,Projeto Técnico-conceitual de um Irradiador para a Terapia de Captura de Nêutrons,Wagner Leite Araújo
Montes Claros,A Nova Arquitetura dos Mercados Para Produtos Orgânicos: O Debate da Convencionalização,Lunna Chaves Costa
Montes Claros,As feiras livres no Brasil,Lunna Chaves Costa
Montes Claros,Modelagem do Processo de Flotação por Ar Dissolvido e Simulação Utilizando Software EMSO,João Carlos Gonçalves
Pirapora,Desenvolvimento de Aplicativo para Coleta de Dados de Saúde no Âmbito do IFNMG Campus Pirapora,Daniel Cosme Mendonça Maia
Pirapora,Medidor Eletrônico de Unidade de Solos,Emerson Fábio José Generoso
Pirapora,Estudo dos Efeitos Sísmicos nas Fundações Profundas em Edifícios no Norte de Minas Gerais,Fábio José Generoso
Pirapora,Compactação do Solo por Pisoteamento como Limite do Desenvolvimento Radicular de Pastagem para a Região de Pirapora – MG,Fábio José Generoso
Pirapora,Uso da Escória de Altos Fornos Siderúrgicos como Agregado na Fabricação de Tijolos Ecológicos para a Construção Civil,Anderson Ricardo dos Anjos
Pirapora,Das Práticas Tradicionais ao Ensino Tecnológico; O Professor e as Possibilidades para a Implantação do Ensino Híbrido,Luciano Soares de Souza
Pirapora,Efeitos de Sentido Reverberados no Processo Tradutório de Phrasal verbs: O Texto Literário em Questão ,Christiano Titoneli Santana
Pirapora,Análise da Plantação e Cultivo do Abacaxi “Pérola” a Partir da Coroa – Fase I,Glaylton Andrade Souza
Pirapora,Segurança em Redes Sociais: Avaliação dos Discentes do Curso Integrados do IFNMG Campus Pirapora,Josué Batista Antunes
Pirapora,Avaliação da Assistência Odontológica na Perspectiva de Usuários Brasileiros: Estudo Multinível ,Danilo Lima Carreiro
Pirapora,"Prevalência de Síndrome de Bernout, Ansiedade, Depressão, Transtornos Mentais Comuns, suas Associações à Hábitos de Lazer, Apoio Social, Sonolência e Nível de Qualidade de Vida Entre Universitários Trabalhadores e não Trabalhadores",Danilo Lima Carreiro
Porteirinha,Aplicação de Robótica Modular na Educação: Um Auxílio no Aprendizado de Alunos do Ensino Fundamental,Lívia de Fátima Silva Mendes
Porteirinha,Integração de Sistemas Fotovoltaicos em Smart Grid,Patrícia Teixeira Sampaio
Porteirinha,Produção de Tecnologia Assistiva em Máquinas de Impressão em 3D,Joyce Meire da Silva França
Salinas,INFLUÊNCIA DO MOMENTO DA INSEMINAÇÃO ARTIFICIAL SOBE O NÚMERO E SEXO DAS PROLES DE CADELAS,WOLFF CAMARGO MARQUES FILHO
Salinas,DESEMPENHO DE FORRAGEIRAS CULTIVADAS SOB DIFERENTES COMBINAÇÕES: UMA OPÇÃO INOVADORA PARA O NORTE DE MINAS GERAIS,ELCIO JOSE DO NASCIMENTO
Salinas,A UTILIZAÇÃO DA METODOLOGIA PEER INSTRUCTION NO ENSINO MÉDIO PARA APRIMORAR O APRENDIZADO EM FÍSICA,JOSE ANTONIO DUARTE SANTOS
